question,options,answer,classified_option
Which kind of follow up is planned with your contact?,"['Email', 'Phone', 'Schedule a Visit', 'No action']","He mentioned needing a detailed proposal,  and he seemed genuinely interested in our platform's analytics capabilities, which are best explained visually.  An email wouldn't be sufficient to convey that complexity, and a phone call would be too brief.  A quick visit to his booth tomorrow morning would allow me to leave behind a printed proposal and demonstrate the analytics in person, addressing his specific questions from our conversation.",['Schedule a Visit']
In which products is you contact interested in?,"['MY-SYSTEM', 'Notion', 'JTS', 'JS EcoLine', 'AKW100', 'AX100']","He mentioned struggling with inventory management, specifically needing something that integrated well with his existing CRM.  He seemed particularly interested in automated reporting features, which I know are a strong point of MY-SYSTEM.  He also briefly mentioned using Notion for project management, but seemed less focused on that aspect of his business during our conversation.  He didn't directly express interest in the other products, though his comments about needing better data analysis capabilities suggested he might benefit from JS EcoLine if he were to explore options more fully later.","['MY-SYSTEM', 'JS EcoLine']"
What is the contact person interested in?,"['100 Additive Manufacturing', '200 Automation', '300 Advanced Manufacturing', '234 Assembly Systems', '256 Joining Systems for large components', 'Others']","He mentioned struggling with efficiency in their current welding processes for their large-scale wind turbine components, specifically citing issues with  cycle times and consistent weld quality.  He also briefly touched on exploring robotic solutions to improve the automation of the welding process, although he didn't go into detail.  That's why I considered ""Joining Systems for large components"" as a primary interest, with ""Automation"" as a secondary, less-defined area of potential interest.","['200 Automation', '256 Joining Systems for large components']"
What is the type of the contact?,"['Existing customer', 'Supplier', 'New customer / Prospect', 'Press / media', 'Competitor']","He mentioned his company's been using our competitor's software for the past three years, but expressed frustration with their customer service and lack of certain features we offer.  He seemed genuinely interested in our demo and asked several detailed questions about pricing and integration with his existing systems.  He also requested a follow-up call to discuss his specific needs further.  While not an existing customer, he's a highly qualified prospect for conversion.",['New customer / Prospect']
What kind of solution is you contract searching for?,"['Scan business cards', 'Clean up CRM', 'Extract data from emails', 'Improve CRM data quality', 'Capture trade fair contacts']","He mentioned struggling to keep his CRM up-to-date, especially after trade shows like this one.  He specifically complained about the manual entry of all the business cards he collects,  and how many leads likely slip through the cracks because of it.  He also said he'd like a way to automatically add information from emails into his CRM to keep everything in one place.  So it's not just about capturing contacts at the trade fair, but the whole process of getting that information into a usable format in his system.","['Scan business cards', 'Clean up CRM', 'Extract data from emails', 'Improve CRM data quality', 'Capture trade fair contacts']"
In which products is your contact interested in?,"['Automotive radar target simulation', 'Noise figure measurements', 'Double-Pulse Testing', 'Display port debugging and compliance', 'High-speed interconnect testing']","He mentioned struggling with signal integrity issues on a new automotive radar system they're developing, specifically around the high-frequency components. That immediately made me think of our high-speed interconnect testing solutions.  He also briefly touched upon needing more accurate noise figure measurements for their earlier-stage prototyping, but seemed far more focused on the challenges he was facing with the final product.","['High-speed interconnect testing', 'Noise figure measurements']"
Who would you like to copy in the follow up?,"['Stephan Maier', 'Joachim Wagner', 'Erik Schneider', 'Oliver Eibel', 'Angelina Haug', 'Marisa Peng', 'Johannes Wagner', 'Jessica Hanke', 'Sandro Kalter', 'Jens Roschmann', 'Domiki Stein', 'Sean Kennin', 'Tim Persson']","Joachim Wagner is the head of procurement at their company, and he expressed a strong interest in our software's cost-saving features during our conversation.  I also briefly spoke with Erik Schneider, who is in their IT department, and he mentioned needing to review the technical specifications before they'd proceed.  Including him would ensure a smooth transition should Joachim approve the purchase.","['Joachim Wagner', 'Erik Schneider']"
What productinterests did you contact express?,"['BusinessCards', 'DataEnrichment', 'VisitReport', 'Data Cleansing', 'DataQuality']","He was particularly interested in improving the accuracy of his company's customer database, mentioning several instances where outdated information led to missed opportunities.  He also specifically asked about our data cleansing capabilities and how they could help him identify and correct inaccurate data points.  While he picked up a business card, the conversation focused heavily on the data quality and enrichment aspects of our offerings; the visit report feature was only briefly touched upon.","['DataEnrichment', 'Data Cleansing', 'DataQuality']"
When does the contact person wish to receive a follow up?,"['1 week', '2 weeks', '3 weeks']","During our conversation,  Mr. Henderson mentioned he's quite busy next week with a major internal project. He did, however, express interest in scheduling a call sometime the following week, to discuss our proposal in more detail after he's had a chance to review the materials I provided.  He seemed to prefer a less rushed approach, indicating that two weeks would give him sufficient time to make an informed decision.",['2 weeks']
Which kind of follow up is planned with your contact?,"['Email', 'Phone', 'Schedule a Visit', 'No action']","He mentioned being swamped this week, but seemed genuinely interested in our new sustainability initiatives and asked for the white paper I offered.  His business card indicated he's the head of procurement, so a phone call next week to follow up on the white paper and see if we can schedule a brief introductory call the following week would be most effective before sending anything more extensive.  An email alone wouldn't be impactful enough, given his position, and a visit would be premature.",['Phone']
